"user_email_hash","model_name","phrase_id","speaker_id","rating"
"3e603dd0","Glow-030spk","p042","VP131","3"
"3e603dd0","Glow-180spk","p009","AS009","2"
"3e603dd0","Glow-180spk","p051","VP427","1"
"3e603dd0","Tacotron2-060spk","p004","AS009","5"
"3e603dd0","GT-000000","p027","IS038","5"
"3e603dd0","GT-000000","p048","VP131","5"
"3e603dd0","GT-000000","p006","AS009","4"
"3e603dd0","Glow-180spk","p058","VP427","1"
"3e603dd0","Tacotron2-180spk","p019","IS031","4"
"3e603dd0","Glow-030spk","p014","IS031","3"
"3e603dd0","Glow-180spk","p002","AS009","4"
"3e603dd0","Tacotron2-030spk","p038","MS052","3"
"3e603dd0","Tacotron2-060spk","p032","MS052","3"
"3e603dd0","Glow-030spk","p007","AS009","4"
"3e603dd0","GT-000000","p013","IS031","5"
"3e603dd0","Tacotron2-030spk","p045","VP131","4"
"3e603dd0","Glow-180spk","p037","MS052","3"
"3e603dd0","Tacotron2-030spk","p052","VP427","4"
"3e603dd0","Tacotron2-060spk","p046","VP131","3"
"3e603dd0","Glow-030spk","p021","IS038","4"
"3e603dd0","GT-000000","p041","VP131","5"
"3e603dd0","Tacotron2-180spk","p005","AS009","5"
"3e603dd0","Glow-030spk","p028","IS038","4"
"3e603dd0","Glow-180spk","p016","IS031","2"
"3e603dd0","Tacotron2-060spk","p060","VP427","5"
"3e603dd0","Tacotron2-180spk","p026","IS038","5"
"3e603dd0","Glow-060spk","p043","VP131","4"
"c2a4e9c3","Glow-030spk","p025","IS038","2"
"e17b9251","Glow-060spk","p055","VP427","1"
"e17b9251","Tacotron2-030spk","p001","AS009","5"
"e17b9251","Tacotron2-030spk","p015","IS031","3"
"e17b9251","Glow-030spk","p019","IS031","2"
"e17b9251","GT-000000","p018","IS031","5"
"e17b9251","Glow-030spk","p040","MS052","3"
"e17b9251","Glow-060spk","p020","IS031","4"
"e17b9251","GT-000000","p004","AS009","5"
"e17b9251","Tacotron2-030spk","p029","IS038","3"
"e17b9251","Glow-030spk","p047","VP131","2"
